pH,C,M,Y,K
7.85,28.163,0,29.6095,56.29699992
7.86,28.2608,0,29.3022,56.38719992
7.87,28.3586,0,28.9949,56.47739992
7.88,28.4564,0,28.6876,56.56759991
7.89,28.5542,0,28.3803,56.65779991
7.9,28.652,0,28.073,56.74799991
7.91,28.7498,0,27.7657,56.83819991
7.92,28.8476,0,27.4584,56.92839991
7.93,28.9454,0,27.1511,57.01859991
7.94,29.0432,0,26.8438,57.10879991
7.95,29.141,0,26.5365,57.19899991
7.96,29.2388,0,26.2292,57.28919991
7.97,29.3366,0,25.9219,57.37939991
7.98,29.4344,0,25.6146,57.4695999
7.99,29.5322,0,25.3073,57.5597999
8,29.63,0,25,57.65
